<br />
<b>Deprecated</b>:  Constant FILTER_SANITIZE_STRING is deprecated in <b>/srv/htdocs/wp-content/plugins/ninja-tables/app/Library/Csv/Config/Output.php</b> on line <b>181</b><br />
"Name of Institution","Type of Resource",Address,"District / City",State,"PIN Code","Contact Number","Alternate Contact Number","Email Address","Website / Social Link","Services Offered","Admission Criteria (if any)","Google Maps Link"
"Andhjan Kalyan Trust, Dhoraji","NGO / Rehabilitation Centre","PCHX+77F andhjan kalyan trust, Venkateshwara Nagar, Dhoraji",Rajkot,Gujarat,360410,"94282 61878",,,,"Education, medical care, employment support, tech training, prosthetic &amp; mobility aids",,
"Andhjan Shikshan Mandal",School,"Athwa Lines, Ghod Dod Road, Opposite Nari Sarvakshan",Surat,Gujarat,395007,9825574604,,andhjansrt@yahoo.co.in,,"Type of School: Senior Secondary Co.Ed. School from Class I to XII - Admission Time: May - August - Fee Structure: - - Other Facilities in the School: School is providing services such as Braille press, community based rehabilitation services, low vision aids, consultancy for barrier free building design/setting up income generation activities, career counseling, consultancy for self employment, provision of machinery &amp; equipment and training for employment.",,
"ARHAM EYE HOSPITAL AND CORNEA CARE CENTRE","Eye Bank","Panchvati Main Road, Beside-HDFC Bank, Near Laxmi Nagar Main Road",Rajkot,Gujarat,360001,"2812456656 / 9825366966",,dharmeshdoc@yahoo.com,,,,
"Arunachal University of Studies (AUS)",,"BESIDES SAI SAMARTH RESIDENCY, B/H, SHARDA YATAN SCHOOL OPP. LAKE-VIEW GARDEN, Umra Rd",Surat,Gujarat,395007,9825110888,,,,"1 TO 12 SCHOOL
 HOSTEL FOR BOTH",,
"ASO PALOV EYE BANK","Eye Bank","RETINA FOUNDATION, NEAR SHAHIBAUG, UNDER BRIDGE,RAJBHAVAN ROAD SHAHIBAUG",Ahmedabad,Gujarat,380004,7922865537,,ashish@drnagpal.com,,,,
"Behra Mulga Shala-Andh Shala",School,"Ashram Road, Muslim Society, Opposite Bata Showroom, Near Times of India, Navaragpura",Ahmedabad,Gujarat,380009,0279-2658138,,schoolfordeafmutesociety@yahoo.com,,"Type of School: Senior Secondary residential school for the boys from Pre School/Nursery to Class XII - Admission Time: June - Fee Structure: - - Other Facilities in the School: School is providing services such as Braille press, Braille library, talking book library, print books, sports, cultural activities, community based rehabilitation services, career counseling, proof readers and narrators of talking books, etc.",,
"Blind People's Association (BPA)",,"Vastrapur, Ahmedabad 380015",Ahmedabad,Gujarat,,"(079)-26300176, 26305060",,,,"Rehabilitation, education, employment, training",,
"Blind People's Association (India)","Hostel &amp; Eye Hospital","132 Feet Ring Rd, Vastrapur",Ahmedabad,Gujarat,380015,"79 2630 4070",,,,"Residential hostel for blind women and free eye &amp; ENT surgeries",,
"Blind People’s Association, Ahmedabad",School,"132 Feet Ring Road, Dr Vikram Sarabhai Road, Surdas Marg, Vastrapur, Opposite IIM Campus, Jagdish Patel Chowk",Ahmedabad,Gujarat,380015,079-26304070,9825014210,blindbad1@bsnl.in,www.bpaindia.org,"Type of School: Senior Secondary Co.Ed. Residential school from Pre School/ Nursery to Class XII and open school learning college - Admission Time: June - Fee Structure: - - Other Facilities in the School: School is providing services such as Braille press, Braille library, talking book library, large print library, print books, Braille appliances, etc.  DIRECTORY OF SERVICESfor Persons with Vision loss in India Vocational Training DESCRIPTION - Apart from School, centre is also providing services such as community based rehabilitation service, placement cell, eye clinics and medical certifications, hostels/residential services, loans, readers, writers, proof readers, narrators of talking books, scanning and editing of books, low vision centre, low vision aids, career counseling and counseling for late blind persons.",,
"Blind School, Gandhinagar",School,"Plot No.156, Behind Garden, Nr. Nagrik Sahakari Bank, Near Main Shopping center, GH:G-30, Sector 16",Gandhinagar,Gujarat,382016,079-23238611,9824030290,blindschoolgnr@gmail.com,,"Type of School: Secondary Co.Ed. Residential school from Pre School/Nursery to Class X - Admission Time: June to August - Fee Structure: - - Other Facilities in the School: School is providing services such as Braille library, print books, sports, cultural activities, community based rehabilitation services, career counseling, etc.",,
"Blind Welfare Council",,"Govindnagar Chowk to Amrapali Society, Jivandeep Society, Shidhpur",Dahod,Gujarat,389151,9429146152,,,,"'- Association is providing services such as low vision aids, career counseling, placement cell, provision of machinery &amp; equipment, hostels/residential services - Braille library, loans, volunteers, readers, writers, Braille appliances, sports, cultural activities, etc.",,
"Blind Welfare Council Dahod",,"132 Feet Ring Rd, Vastrapur, Ahmedabad, Gujarat 380015",Ahmedabad,Gujarat,380015,"79 2630 4070",,,,"Private blind school, co‑educational (targetstudy.com, targetstudy.com)",,
"C U SHAH MEDICAL COLLEGE","Eye Bank","Dudhrej Rd, Laxminarayan Society",Surendranagar,Gujarat,363001,02752287000,"2752 256001",cushahmedical@gmail.com,https://cusmc.org/subpage/ophthalmology,,,
"C.H NAGRI MUNI EYE HOSPITAL","Eye Bank","Ellis Bridge",Ahmedabad,Gujarat,380006,"7926466724 / 7926460176 / 7926469540",,,https://www.nagrieyehospital.org/,,,https://g.co/kgs/bu7thqF
"C.S. Samariya Red Cross International Eye Bank","Eye Bank","#2, Neelam Park Sanjay Sachin Towers Road",Ahmedabad,Gujarat,380015,079-22450633,,,,"'- Eye bank and medical certifications.",,
"CIVIL HOSPITAL","Eye Bank","360575, Rani Baug, Panch ",Hatdi,Gujarat,360575,,,,,,,
"CIVIL HOSPITAL","Eye Bank","Jamnagar Road, Hospital Chowk, Opp. SBI",Rajkot,Gujarat,360001,"0281247 1118",,,,,,
"CIVIL HOSPITAL","Eye Bank","Civil Hospital Campus, Gandhinagar Sector 12",Gandhinagar,Gujarat,382016,7923221931,,,,,,
"Commissioner for Persons with Disabilities","Government Department","Social Justice &amp; Empowerment Department Govt. of Gujarat, Old Vidhan Sabha Bldg, Near Town Hall,1st Floor, Sector 17 G",Gandhinagar,Gujarat,382017,079-3220361,,commi-pwd@gujarat.gov.in,,"'- Government department overseeing implementation of provisions under The Persons with Disabilities Act, 1995 at state level, monitoring and grievance redressal.",,
"Dhiraj Hospital / Sumandeep Hospital","Eye Bank","AT &amp; PO: PIPARIA, WAGHODIA ROAD",Vadodara,Gujarat,391760,"02668 245262","02668 245266",info@sumandeepvidyapeethdu.edu.in,https://sumandeepvidyapeethdu.edu.in/medical/dhiraj-opd-block/,"Eye Bank and Cornea Transplant Centre",,https://g.co/kgs/ndKGwae
"Disable Welfare Trust of India","NGO / School / Vocational Training","BESIDES SAI SAMARTH RESIDENCY, B/H, SHARDA YATAN SCHOOL OPP. LAKE-VIEW GARDEN, Umra Rd",Surat,Gujarat,395007,9825110888,,,,"Education, physiotherapy, free transportation, lunch, vocational rehab, future corrective hospital",,https://maps.app.goo.gl/Vgz36dCV4n9KAGji9
"DIVYA JYOTI TRUST","Eye Bank","Opp-Hanuman Temple Suthar Faliya",Mandvi,Gujarat,394160,"2623221180 / 2623221090",,"divyajyoti.icare@gmail.com, divyajyoti@divyajyotitrust.org",,,,
"DR THAKORBHAI V PATEL EYE INSTITUTE","Eye Bank","Haribhakti Complex, Salatwada, Karelibagh",Vadodara,Gujarat,390001,"0265 2410932",9925044932,,,,,
"DR. DHANIJISHA E ANKLESARIA EYE BANK","Eye Bank","M &amp; J INSTITUTE OF OPHTHALMOLOGY D.E. ANKELSERIA EYE BANK, CIVIL HOSPITAL CAMPUS",Ahmedabad,Gujarat,380016,7922681010,7922680314,dir.eye.ahd@gujarat.gov.in,,,,
"DRASHTI NETRALAYA","Eye Bank","Dr Shreya Shah,Administrative Director ,Drashti Netralaya ,GIDC Road",Dahod,Gujarat,398151,,9909008838,omtrustdahod@gmail.com,,,,https://g.co/kgs/eV7XauC
"Eklavya Education Foundation",,,Ahmedabad,Gujarat,,079‑26870290,,,,"Inclusive curriculum support for blind kids",,
"GAYATRI HOSPITAL","Eye Bank","6/7, 1st floor, Center Point, Maruti chowk, LH Road",Surat,Gujarat,395006,"098241 60002",,,,,,https://g.co/kgs/BDJ3b43
"GMERS DHARPUR","Eye Bank","GMERS Medical College And Hospital Campus",Dharpur,Gujarat,384290,"2766 296 064",,gmerspatan@gmail.com,https://gmersmchpatan.org/,,,https://g.co/kgs/BvkFzFw
"GOVT MEDICAL COLLEGE","Eye Bank","5RHC+64C, Opp. Income Tax Department Office, Majura Gate",Surat,Gujarat,395001,02612244147,02612244147,deangmcs-gj@nic.in,https://gmcsurat.edu.in/doku.php?id=ophthalmology:start,,,
"Gujarat Blind Relief &amp; Health Association","Eye Bank","Shri Ravi Shankar Maharaja Eye Hospital, Chikhodra",Anand,Gujarat,388320,02652-253088,,,www.nabcentreforwomen.org,"'- Eye hospital and medical certifications.",,
"Gujarat Research &amp; Medical Institute","Eye Bank","Rajasthan Hospital Camp Road, Shahibaug, near Swaminarayan Temple, Behind Gever Complex ",Ahmedabad,Gujarat,380004,,,curewithcare@grmi.org.in,,"'- Eye hospital and medical certifications.",,
"GURU GOBIND SINGHJI GG/IRWIN HOSPITAL","Eye Bank","G G Hospital, Pandit Nehru Marg",Jamnagar,Gujarat,361008,288-2661087,,ms.health.jamnagar@gmail.com,"https://jamnagar.nic.in/public-utility/guru-govind-sinh-hospital-gg-hospital/#:~:text=%E0%AA%9C%E0%AA%BE%E0%AA%AE%E0%AA%A8%E0%AA%97%E0%AA%B0%20Jamnagar,Last%20Updated:%20May%2001%2C%202025",,,https://g.co/kgs/HS5Km7P
"Guru Teg Bahadur Hospital Ophthalmology",,"Location: Vastrapur, Ahmedabad.",Ahmedabad,Gujarat,,"Contact: Mrs. Kusumben Vaghela (7016020923).",,,,,,
"INDIAN RED CROSS SOCIETY","Eye Bank","1, ATULYA BHAWAN, SARKHEJ, GANDHI NAGAR HIGHWAY DHOLKA",Ahmedabad,Gujarat,380054,"079-27450633 27413333",,"mazmudar@icenet.net, gmazmudar@yahoo.com",,,,
"INDIAN RED CROSS SOCIETY","Eye Bank","Bhavnagar District Branch, Red Cross Bhavan, Diwanpara Rd",Bhavnagar,Gujarat,364001,"(0278)242 4761 / 243 0700",,"ircsbvn@gmail.com, info@redcrossgujarat.org",http://redcrossgujarat.org/,,,https://g.co/kgs/N9zHFSq
"Indian Red Cross Society","Eye Bank","Indian Red Cross Society, Red Cross Bhavan, Diwanpara Rd",Bhavnagar,Gujarat,364001,9429406202,,,www.redcrossgujarat.org,"'- Eye hospital and medical certifications.",,
"Jalaram Sewa Trust","vocational training","Arvind Viklang Bhawan Station Road, Virakt Ashram Dharmej Pettad",anand,Gujarat,380009,02697-244798,,jalaram.trust@rediffmail.com,,"'- Centre provides community based rehabilitation services, career counseling, counseling for late blind persons, low vision aids, Braille appliances, consultancy in setting up vocational training program, hostels/residential services, Braille library, talking book library, large print library, print books, narrators of talking books, sports and cultural activities, etc. G",,
"Janta Adarsh Andh Vidyalaya",,"Behind Dutt nagar society, Civil Rd, Valsad, Gujarat 396001",Valsad,Gujarat,,"02632 251 459",,,,"'- Diploma in Education Technology- B.Ed.- M.Ed.",,
"JYOTI HOSPITAL","Eye Bank","Near Nutan High School, Vijay Para,VISNAGAR ",MEHSANA,Gujarat,384315,"281220232, 230331, 235832",,jyoti_hospital@yahoo.com,,,,
"Jyoti Trust Eye Hospital",,"Ganj Bazar Road, Visnagar",Mehsana,Gujarat,384315,02765-220232,9429730304,jyotihospital@yahoo.com,,"'- Counseling centre providing socio psychological counseling.",,
"Kalyanam Karoti Institute of Professional Education &amp; Rehabilitation",,"Khodiyar Chok,Nr. Khodiyar Temple, B/H Atul Singtel, Paldi Gaam, Paldi, Ahmedabad, Gujarat 380007",Ahmedabad,Gujarat,,9726884422,,,,"Private blind training center",,
"KASTURBA TRUST FOR THE BLIND",,"Surat, Gujarat",Surat,Gujarat,,0261‑2356657,,,,"Girls’ blind hostel &amp; education",,
"KESHUBHAI MEHTA EYE HOSPITAL,","Eye Bank","KARANPARA ",RAJKOT,Gujarat,360001,"2812225348 / 2812239659",,drajay_mehta@yahoo.com,,,,
"Lions Andh Kanya Shala",,"30, Goyagate Society, Opposite Yogini Vasant Devi Hospital, R V Desai Road, Pratapnagar",Vadodara,Gujarat,390009,0265-2437354,,,,"'- Rehabilitation centre providing services such as Braille library, publication services, sports and cultural activities, etc.",,
"Lok Drashti Eye Bank","Eye Bank","Gayatri Hospital, A/26 Rangavdhut Society Matawadi, Lambe Hanuman Road, Varchha Road",Surat,Gujarat,395006,0261-2553653,9825034591,dr.prafulshiroya@yahoo.co.in,www.lokdrishtieyebank.org,"'- Eye bank and medical certifications.",,
"LOK DRISHTI EYE BANK","Eye Bank","A-26, Lambe Hanuman Road Matavadi, 3, Rangavdhut Society, Varachha",Surat,Gujarat,395010,"98251 32909",,info@lokdrashti.org,www.lokdrashti.org,,,https://g.co/kgs/zaYkvPW
"Loksewak Sangh - Blind School",School,"M 8 Post-Chordi Taluka, Savarkundala Amreli ",Amreli,Gujarat,364515,02845-277222,9428417584,loksewaksangh123@gmail.com,www.loksevaksangh.org,"Type of School: Elementary Co.Ed. Residential school - Admission Time: June - Fee Structure: - - Other Facilities in the School: School is providing services such as Braille library, sports, cultural activities, community based rehabilitation services, career counseling and counseling for late blind persons.  DIRECTORY OF SERVICESfor Persons with Vision loss in India",,
"Manovikas Charitable Society",,"Astha-102, Rudanagar-2, University Rd, Sadguru Nagar, Rajkot, Gujarat 360005",Rajkot,Gujarat,,"099980 41053",,,,"1-10 SCHOOL FOR GIRLS
 DAY BLIND SCHOOL
 HOSTEL 6-18 YEAR GIRLS",,
"Medical Care Centre Trust","Eye Bank","K G Patel Children Hospital, Jalaram Road, Kareli Baug",Vadodara,Gujarat,390018,0265-2463906,,kgpchospital1984@yahoo.com,,"'- Eye hospital and medical certifications.",,
"MEDICAL CARE CENTRE TRUST ELMEX EYE BANK - CHILDREN HOSPITAL","Eye Bank","KARELIBAUG, JALARAM MARG ",VADODARA,Gujarat,390018,"2652463906 / 2652464130",,"kgphospital@yahoo.com / kgphospital@eth.net",,,,
"Mehsana Jajcees Charitable Trust","Eye Bank","Rinki Super Market, Dairy Road, Industrial Estate ",Mehsana,Gujarat,384002,02762-243634,9879597968,mjbb84@gmail.com,www.bloodbankmehsana.org,"'- Eye hospital and medical certifications.",,
"MUNI SANT BALJI EYE BANK","Eye Bank","C/O Dr. Thankis Eye Hospital Main Road Prakash Nagar Opposite Gujarat Electrical Board",Veraval,Gujarat,362265,02876-223839,,,,,,https://g.co/kgs/vWyvEqt
"N.T.Doshi Andh Vidyalaya",School,"New Junction",Surendranagar,Gujarat,393001,02742-222932,,mndoshi@sancharnet.in,,"Type of School: Elementary Co.Ed. Residential school - Admission Time: June - Fee Structure: - - Other Facilities in the School: School is providing services such as Braille library, print books, Braille appliances, sports, culture activities, low vision aids, G hostels/residential services, readers, writers and narrators of talking books.",,
"NAB - Amreli",School,"Sital Road, Near Datta Temple",Amreli,Gujarat,365601,02792-223239,,,,"Type of School: Senior Secondary Co.Ed. School from Pre School/Nursery to Class XII - Admission Time: - - Fee Structure: - - Other Facilities in the School: Apart from School, association is providing services such as library services, sports, cultural activities, community based rehabilitation services, consultancy for setting up vocational training program, career counseling, proof readers and narrators of talking books.",,
"NAB - Banaskantha/Palanpur",,"Dairy Road, Opp. Sashivan Garden, Vidhya Mandir",Palanpur,Gujarat,395001,,,mamtamandir@vidyamandir.org,,"'- Association is providing services such as: - Career Counseling. - Low Vision Aids. - Braille Library, Print Books, - Braille Appliances, Publication Services, Sports, Cultural Activities, etc.  DIRECTORY OF SERVICESfor Persons with Vision loss in India",,
"NAB - Bardoli",,"IMA Circle, Talawadi Medaan, Bardoli",Surat,Gujarat,394601,02622-220198,9825404165,dr_ashvin38@yahoo.co.in,,"'- Association is providing community based rehabilitation services, low vision aids, low vision centre, Braille appliances, sports and cultural activities.",,
"NAB - Bharuch",,"Near Haji Khan Police Chowki",Bharuch,Gujarat,392001,02642-264607,9727065533,,,"'- Rehabilitation centre is providing community based rehabilitation services, career counseling, eye clinics and medical certifications.",,
"NAB - Kheda Branch",School,"Vanthvadi Village Taluka: Mehamdavad ",Kheda,Gujarat,387130,02694-291104,9898704941,nab_kheda@yahoo.in,,"Type of School: Senior Secondary residential school for the boys from Pre School/Nursery to Class XII - Admission Time: June - Fee Structure: - - Other Facilities in the School: Apart from School, association is providing services such as Braille library, Braille appliances, sports, cultural activities, community based rehabilitation services, low vision aids, career counseling, counseling for late blind persons, placement cell, self employment, talking book library, and narrators of talking books, etc.",,
"NAB - Navsari",School,"LG-9, Paradish Tower, Station Road",Navsari,Gujarat,396445,02637-240005,9825150501,nabNavsari@gmail.com,,"Type of School: Elementary Co.Ed. School - Admission Time: - - Fee Structure: -  - Other Facilities in the School: Apart from School, association is providing services such as Braille library, talking book library, Braille appliances, sports, cultural activities, community based rehabilitation services, low vision aids, career counseling, placement cell, readers, writers, proof readers, narrators of talking books and vocational training.",,
"NAB - Patan",School,"#5, Sarvodya Nagar, Society, Disha Road",Patan,Gujarat,384265,02766-292456,,drdikshit@rediffmail.com,,"Type of School: Senior Secondary Co.Ed. School from Class IX to XII - Admission Time: June - Fee Structure: - - Other Facilities in the School: Apart from School, association is providing services such as Braille library, sports, cultural activities, community based rehabilitation services, consultancy for setting up vocational training program, career counseling and vocational training.",,
"NAB - Sabarkantha",School,"Old Swastik School House, Nandanvan Society, Aanadnagar Area",Idar,Gujarat,383430,02778-250298,9426060659,nabsabarkantha@gmail.com,,"Type of School: Senior Secondary Co.Ed. School from Class IX to XII - Admission Time: June - Fee Structure: - - Other Facilities in the School: Apart from School, association is providing services such as Braille library, talking book library, print books, Braille appliances, sports, culture activities, providing services such as community based rehabilitation services, low vision aids, low vision centre, career counseling, counseling for late blind persons, proof readers, narrators of talking books, publication services and vocational training.",,
"NAB - Selwas Branch",School,"Near Reliance Industries Hindustan, Pencil, Kharapada Naroli",Selvas,Gujarat,396230,9428046038,,info@nabsanand.org,,"Type of School: Senior Secondary Co.Ed. Residential school from Pre School/ Nursery to Class XII - Admission Time: June - Fee Structure: - - Other Facilities in the School: Apart from School, association is providing services such as Braille library, talking book library, sports, culture activities, low vision aids, low vision centre, career counseling, self employment and vocational training.",,
"NAB - Surat",,"Ghoddod Road, Opp. G-3, Showroom",Surat,Gujarat,395007,0261-2669480,9375715382,nab_surat@yahoo.co.in,,"'- Rehabilitation centre is providing community based rehabilitation services, low vision aids and low vision centre, etc.",,
"NAB - Surendranagar",School,Patdi,Surendranagar,Gujarat,382765,9427494965,,,,"Type of School: Senior Secondary Co.Ed. School from IX to Class XII - Admission Time: - - Fee Structure: - - Other Facilities in the School: Apart from School, association is providing services such as sports, cultural activities, community based rehabilitation services, career counseling, readers, writers and proof readers, etc.",,
"NAB - Valsad",School,"Nanakwada, Civil Hospital Road, near Datta Nagar Housing Society, Nr. Gram Panchayat Nahalevada ",Valsad,Gujarat,396001,02632-251459,9909006502,nab.valsad@yahoo.co.in,www.valsadnab.org,"Type of School: Senior Secondary Co.Ed. Residential school from Pre School/ Nursery to Class XII - Admission Time: May/June - Fee Structure: - - Other Facilities in the School: Apart from School, association is G providing services such as Braille library, sports, cultural activities, low vision aids, low vision centre, career counseling and counseling for late blind persons.",,
"NAB - Viramgaam Branch",School,"Sanjivni Hospital, Near Bordi Bazar Viramgaam Gujarat 382150 No.4, Viramgam Branch, 1st floor, The Vimco Bank Ltd, Viramgam",Ahmedabad,Gujarat,382150,,9427521199,jainramila@gmail.com,,"Type of School: Senior Secondary Co.Ed. School from Class IX to XII - Admission Time: June - Fee Structure: - - Other Facilities in the School: Apart from School, association is providing services such as Braille appliances, sports, cultural activities, community based rehabilitation services, low vision aids, career counseling, counseling for late blind persons, etc.",,
"NAB -Sanand-Bavala Branch",School,"National Association For Blind, Navdurga Shopping Center, Gadhiya Lake Bavla Road",Sanand,Gujarat,382110,9898899326,,,www.nabsanand.org,"Type of School: Senior Secondary Co.Ed. School from Pre School/Nursery to Class XII - Admission Time: June - Fee Structure: - - Other Facilities in the School: Apart from School, association is G providing services such as Braille library, Braille appliances, sports, cultural activities, community based rehabilitation services, low vision aids, low vision centre, career counseling, counseling for late blind persons, placement cell, readers and writers, etc.",,
"NAB- Dahod",School,"M.B. Jain Andh Jan Vidhyalaya, Chapri, Borvani Road, PO Box No. 37 Chapri",Dahod,Gujarat,389151,02673-250013,9429146152,,,"Type of School: Secondary Co.Ed. Residential school from Pre School/Nursery to Class X - Admission Time: June - Fee Structure: Free - Other Facilities in the School: Apart from School, association is also G providing services such as Braille library, sports, cultural activities, community based rehabilitation services and career counseling.",,
"National Association for the Blind",School,"Opposite Kanta Vicas Gruh, Bhaktinagar Society, Road No 1, G near Bhaktinagar Circle",Rajkot,Gujarat,360002,0281-2223985,,bnwarajkot@gmail.com,,"Type of School: Senior Secondary Co.Ed. Residential school from Class I to XII and Open School Learning College - Admission Time: June - Fee Structure: Free - Other Facilities in the School: Apart from School, association is providing services such as Braille press, Braille library, Braille appliances, sports, cultural activities, etc.  DIRECTORY OF SERVICESfor Persons with Vision loss in India Vocational Training DESCRIPTION - Apart from School association is providing consultancy services for barrier free building design/setting up vocational training program/setting up Braille press/setting up income generation activities - Association is also providing services such as low vision aids, career counseling, counseling for late blind persons, self employment, hostels/ residential services, loans, volunteers, readers, writers and proof readers.",,
"National Association for the Blind",,"NabBhavnagar, opp. New Filter, Vidhyanagar",Bhavnagar,Gujarat,364002,0278-243917,,nab@nabbhavnagar.com,,"'- Association provides services like community based rehabilitation services, low vision aids. - Career counseling, counseling for late blind persons, placement cell, self employment. - Provision of machinery &amp; equipment, group placement, loans, volunteers, readers, writers, proof readers, narrators of talking books. - Scanning and editing of books, Braille appliances, sports &amp; cultural activities.",,
"National Association for the Blind","vocational training","D j hostel, near Panchayat Hospital, Bakrol, Nana Bazaar, Vallabh Vidyanagar",anand,Gujarat,388120,02692-2573071,"99252 35528","nablindanand@yahoo.in, info@nabanand.org",,"'- Association provides services like community based rehabilitation services, consultancy for setting up vocational training program. - Career counseling, counseling for late blind persons, placement cell. - Braille library, loans, volunteers, readers, writers, narrators of talking books, short term training programme, sports &amp; cultural activities",,
"National Association for the Blind",School,"South Commercial Centre, Kada Road, Nr. Ashram, Visnagar Rural",Mehsana,Gujarat,384315,276522457,094260,nablindvisnagar@yahoo.in,,"Type of School: Senior Secondary Co.Ed. School from Pre School/Nursery to Class XII - Admission Time: May/June - Fee Structure: - - Other Facilities in the School: Braille library, print books, sports, culture activities, etc. Vocational Training DESCRIPTION - Apart from School, association is providing consultancy services for designing ICT labs, consultancy for barrier free building design/setting up vocational training program/setting up science labs. - Association also provides services like community based rehabilitation services, career counseling, counseling for late blind persons, self employment, loans, readers, proof readers, scanning and editing of books, publication services, short term training programme and vocational training.  DIRECTORY OF SERVICESfor Persons with Vision loss in India",,
"National Association for the Blind","vocational training","Neminathji Niwadi, Nr. V.S. Gandhi Circle, Darwaza, Kapadvand",Kheda,Gujarat,387620,02691-263466,,vsgcp@yahoo.co.in,,"'- Association provides services like community based rehabilitation services, low vision aids, consultancy for setting up vocational training program. - Career counseling, print books, loans, volunteers, readers, writers, narrators of talking books, Braille appliances, sports, cultural activities.",,
"National Association for the Blind",School,"Jagdish Patel Chowk, Surdas Marg, Vastrapur",Ahmedabad,Gujarat,380015,079-26304070,,blinabad1@bsnl.in,,"Type of School: Senior Secondary Co.Ed. Residential school from Pre School/ Nursery to Class XII - Admission Time: June - Fee Structure: - - Other Facilities in the School: Apart from School, association  is providing services such as sports, cultural activities, community based rehabilitation services, consultancy for setting up vocational training program, career counseling, counseling for late blind persons, readers, writers, proof readers and narrators of talking books.",,
"National Association for the Blind","Vocational Training","47/A, Middle Class Society, Near Jayesh Colony, Fateh Ganj",Vadodara,Gujarat,390002,0265-2792114,,,,"'- Association is providing services such as community based rehabilitation services, low vision aids, consultancy for setting up vocational training program, career counseling and counseling for late blind persons. - Talking book library, Braille appliances, sports, cultural activities, etc.",,
"National Association for the Blind - Junagadh",,"Vanthli Highway, Nr. Giriraj Hotel, Opp. Petrol Pump, PO-Box No. 8, Shapur Post",Junagadh,Gujarat,362205,0285-3295682,,nab_jnd@rediffmail.com,,"'- Association is providing services like community based rehabilitation services, low vision aids, low vision centre, consultancy for barrier free building design, self employment. - Consultancy services for setting up Braille press, Braille library, talking book library, print books and loans.",,
"National Association for the Blind – Valsad","NGO / Training Center","Behind Dutt nagar society, Civil Rd, Valsad, Gujarat 396001",Valsad,Gujarat,396001,"02632 251 459",9909006502,nabvalsad@gmail.com,http://valsadnab.org/,"Adult training, music &amp; computer training, recreational events,","Disability certificate",https://g.co/kgs/FbVJsX6
"National Association for the Blind Kheda Dist. Branch",,"Vanthvadi Ta Mahemdabad",kheda,Gujarat,387130,02694-291104,9228623197,nab-kheda@yahoo.in,www.disabilitymanagementcell.com,"'- Association is providing services like Braille press, community based rehabilitation services, low vision aids, Braille library, large print library, print books, Braille appliances, publication services, sports &amp; cultural activities. - Consultancy services for setting up barrier free building design/setting up Braille press, career counseling and counseling for late blind persons.",,
"National Association for the Blind, Dahod - PMS",School,"Borvani Road, Chhapari, P.B. No. 37",Dahod,Gujarat,389151,02673-250013,9429146152,nabdahod1981@gmail.com,,"Type of School: Senior Secondary residential school for the boys from Pre School/Nursery to Class XII - Admission Time: - - Fee Structure: Free G - Other Facilities in the School: School is providing services such as Braille library, large print library, sports, and cultural activities. Vocational Training DESCRIPTION - Association is providing services such as community based rehabilitation services, counseling for late blind persons, hostels/residential services, and vocational training.",,
"National Association for the Blind, Valsad Dist.",School,"Civil Hospital Road, Nankwada ",Valsad,Gujarat,396001,02632-251459,,nabvalsad@yahoo.co.in,,"Type of School: Senior Secondary Co.Ed. Residential school from Class I to XII - Admission Time: June - Fee Structure: Free - Other Facilities in the School: Braille library, talking book library, sports and culture activities. - Apart from School, association also provides community based rehabilitation services, low vision aids, low vision centre, consultancy for barrier free building design/setting up vocational training program, career counseling, hostels/residential services, loans, volunteers, readers and writers.  DIRECTORY OF SERVICESfor Persons with Vision loss in India",,
"National Handicapped Finance and Development","vocational training","Gujarat Minorities Finance &amp; Development Corporation Ltd. 2nd Floor, Block No. 11, Dr. Jivraj Mehta Bhavan",Gandhinagar,Gujarat,382010,079-23254152,,md-gmfdcl@gujarat.gov.in,,"'- Financial body providing community based rehabilitation services, consultancy setting up vocational training program/setting up income generation activities, placement cell, self employment, provision of machinery &amp; equipment and loans.",,
"Navjyot Andhjan Mandal",Hostel,"Khodiyar Chok,Nr. Khodiyar Temple, B/H Atul Singtel, Paldi Gaam, Paldi",Ahmedabad,Gujarat,380007,9726884422,,navjyotandhjanmandal@gmail.com,navjyotandhjanmandal.org,"Residential hostel for blinds and free eye &amp; ENT surgeries",,
"NETRADEEP HOSPITAL","Eye Bank","150 Feet Ring Road, Near Ayodhya Chowk",rajkot,Gujarat,360006,02812225190,,inquiry@netradeepeyehospital.com,,,,
"New Civil Hospital","Eye Bank","Opp. ITI, Ring Road, Majura Gate",Surat,Gujarat,395001,0261-2244456,,aha.l.surat1@gmail.com,,"'- Eye hospital and medical certifications.",,
"NSPB Gujarat State Branch",,"Gujarat State Branch Indian Red Cross Society 1, Atulya Bhawan, Near Consumer Centre, Sarkhej, Gandhi Nagar Highway Thalkej",Ahmedabad,Gujarat,380054,,,,,"'- Counseling and eye clinics and medical certifications.",,
"NSPB Panchmahal District Branch",,"Chitra Cinema Road",Godhra,Gujarat,389001,,,,,"'- Counseling and eye clinics and medical certifications.",,
"Parivar Education Society",,"Ahmedabad, Gujarat",Ahmedabad,Gujarat,,079‑27417269,,,,"Residential school, vocational activities",,
"Pragya educATIONAL AND CHARITABLE TRUST",NGO,"Astha-102, Rudanagar-2, University Rd, Sadguru Nagar",Rajkot,Gujarat,360005,"099980 41053",,,,,,https://g.co/kgs/Fi4z1G9
